actor_id,actor_name,role,movie_id,imdb_id,movie_name,nett_gross,verdict
2,Akshay Kumar,Actor,2947,tt3802576,Brothers,706550000.0,Flop
2,Akshay Kumar,Actor,2860,tt2424988,Gabbar Is Back,868550000.0,Semi Hit
2,Akshay Kumar,Actor,2566,tt3848892,Baby,818350000.0,Average
2,Akshay Kumar,Actor,2379,tt3848888,The Shaukeens,183450000.0,Flop
2,Akshay Kumar,Actor,2288,tt2978626,Entertainment,642950000.0,Flop
2,Akshay Kumar,Actor,2256,tt2556308,Holiday - A Soldier Is Never Off Duty,1124400000.0,Hit
2,Akshay Kumar,Actor,1621,tt2571140,Boss,498900000.0,Flop
2,Akshay Kumar,Actor,1418,tt1891884,Once Upon A Time In Mumbaai Dobaara!,584900000.0,Flop
2,Akshay Kumar,Actor,1237,tt2377938,Special 26,654750000.0,Semi Hit
2,Akshay Kumar,Actor,1199,tt2166214,Khiladi 786,645450000.0,Average
2,Akshay Kumar,Actor,1142,tt2283748,OMG! Oh My God,814350000.0,Super Hit
2,Akshay Kumar,Actor,1037,tt1918886,Joker,202275000.0,Disaster
2,Akshay Kumar,Actor,177,tt2077833,Rowdy Rathore,1312150000.0,Blockbuster
2,Akshay Kumar,Actor,3,tt1980986,Housefull 2,1117925000.0,Super Hit
2,Akshay Kumar,Actor,40,tt1985981,Desi Boyz,459200000.0,Flop
2,Akshay Kumar,Actor,36,tt1720254,Thank You,450325000.0,Flop
2,Akshay Kumar,Actor,41,tt1535467,Patiala House,328100000.0,Flop
2,Akshay Kumar,Actor,76,tt1572311,Tees Maar Khan,605725000.0,Semi Hit
2,Akshay Kumar,Actor,79,tt1396208,Action Replayy,281250000.0,Flop
2,Akshay Kumar,Actor,86,tt1455811,Khatta Meetha,391325000.0,Below Average
2,Akshay Kumar,Actor,92,tt1573072,Housefull,722475000.0,Hit
2,Akshay Kumar,Actor,140,tt1255951,De Dana Dan,481475000.0,Average
2,Akshay Kumar,Actor,143,tt1223922,Blue,385450000.0,Flop
2,Akshay Kumar,Actor,141,tt1144804,Kambakkht Ishq,470900000.0,Average
2,Akshay Kumar,Actor,152,tt1105709,8 x 10 Tasveer,154075000.0,Disaster
2,Akshay Kumar,Actor,146,tt1091229,Chandni Chowk To China,294550000.0,Disaster
2,Akshay Kumar,Actor,202,tt1146325,Singh Is Kinng,679050000.0,Super Hit
2,Akshay Kumar,Actor,204,tt0995752,Tashan,293500000.0,Below Average
2,Akshay Kumar,Actor,265,tt0488798,Welcome,701500000.0,Super Hit
2,Akshay Kumar,Actor,233,tt0995031,Bhool Bhulaiyaa,490950000.0,Hit
2,Akshay Kumar,Actor,246,tt0806088,Heyy Babyy,471200000.0,Hit
2,Akshay Kumar,Actor,224,tt0795434,Namastey London,372900000.0,Semi Hit
2,Akshay Kumar,Actor,284,tt0805184,Bhagam Bhag,403750000.0,Hit
2,Akshay Kumar,Actor,381,tt0456481,Jaan-E-Mann,251250000.0,Flop
2,Akshay Kumar,Actor,367,tt0419058,Phir Hera Pheri,408100000.0,Super Hit
2,Akshay Kumar,Actor,363,tt0444840,Humko Deewana Kar Gaye,141250000.0,Flop
2,Akshay Kumar,Actor,382,tt0418880,Mere Jeevan Saathi,24200000.0,Disaster
2,Akshay Kumar,Actor,296,tt0437182,Family - Ties of Blood,85850000.0,Disaster
2,Akshay Kumar,Actor,293,tt0449228,Dosti - Friends Forever,87700000.0,Flop
2,Akshay Kumar,Actor,402,tt0444781,Deewane Huye Paagal,151700000.0,Flop
2,Akshay Kumar,Actor,392,tt0453671,Garam Masala,290000000.0,Hit
2,Akshay Kumar,Actor,397,tt0390614,Waqt - The Race Against Time,202500000.0,Average
2,Akshay Kumar,Actor,400,tt0363472,Bewafaa,169700000.0,Below Average
2,Akshay Kumar,Actor,424,tt0438875,Insan,65750000.0,Disaster
2,Akshay Kumar,Actor,441,tt0397882,Ab Tumhare Hawale Watan Saathiyo,115600000.0,Disaster
2,Akshay Kumar,Actor,443,tt0418460,Aitraaz,155800000.0,Average
2,Akshay Kumar,Actor,1793,tt0432536,Hatya - The Murder,5950000.0,Disaster
2,Akshay Kumar,Actor,453,tt0418362,Mujhse Shaadi Karogi,291100000.0,Hit
2,Akshay Kumar,Actor,503,tt0187279,Meri Biwi Ka Jawab Nahin,2675000.0,Disaster
2,Akshay Kumar,Actor,465,tt0363409,Aan - Men at Work,92650000.0,Disaster
2,Akshay Kumar,Actor,491,tt0416120,Police Force - An Inside Story,11950000.0,Disaster
2,Akshay Kumar,Actor,454,tt0347332,Khakee,257900000.0,Average
2,Akshay Kumar,Actor,514,tt0346507,Andaaz,159350000.0,Hit
2,Akshay Kumar,Actor,527,tt0338477,Talaash - The Hunt Begins...,78600000.0,Flop
2,Akshay Kumar,Actor,604,tt0326983,Jaani Dushman - Ek Anokhi Kahani,107250000.0,Flop
2,Akshay Kumar,Actor,597,tt0319020,Awara Paagal Deewana,160150000.0,Average
2,Akshay Kumar,Actor,594,tt0306434,Aankhen,174800000.0,Average
2,Akshay Kumar,Actor,613,tt0308347,Haan Maine Bhi Pyaar Kiya,89300000.0,Flop
2,Akshay Kumar,Actor,663,tt0278291,Ajnabee,170400000.0,Average
2,Akshay Kumar,Actor,666,tt0284083,Ek Rishtaa - The Bond Of Love,177800000.0,Average
2,Akshay Kumar,Actor,748,tt0255305,Khiladi 420,57550000.0,Disaster
