,0
5899,tt0064915
3318,tt0106205
3319,tt0395620
3320,tt0109555
3321,tt0424489
3322,tt0108109
3323,tt0105515
3325,tt0396421
3326,tt0450577
3327,tt0267424
3328,tt0494997
3329,tt0339991
3330,tt0360791
3331,tt0231197
3332,tt0448790
3340,tt0464990
3341,tt0290429
3342,tt0395703
3344,tt0262747
3345,tt0358992
3346,tt2699930
3347,tt2655740
11,tt0110076
3034,tt0111308
3035,tt0109117
3046,tt0110584
3047,tt0111384
3048,
3049,tt0290213
3050,tt0172488
3051,tt0111067
3052,tt0290940
3053,tt0363170
3054,tt0976027
3055,tt0109922
3056,tt0402739
3057,tt2644446
3060,tt0111537
3061,tt0292742
3062,tt0112269
3063,tt0172487
3064,tt0111780
3065,tt0110105
3066,tt0109246
3068,tt0111303
3070,tt0240879
3071,tt1339312
3072,tt0109091
3073,tt0482671
3074,tt0110438
3075,tt2579176
3076,tt0362986
3077,tt0109325
3084,tt2652396
3085,tt0205189
3086,tt0113933
3087,tt0109391
3088,tt0109710
3089,
3090,tt0111625
3091,
3092,tt0361764
3093,tt0110280
3094,tt0338690
3095,tt0109010
3096,tt0385793
3097,tt0450608
3100,tt0395614
3101,tt1202010
3102,tt0110546
3104,tt0398128
3105,tt0440199
3106,tt0317699
3107,tt2679304
3108,
3109,tt0110177
3110,tt0135140
3134,tt3659414
3135,tt0225013
3136,tt0347566
3137,tt0317985
3138,tt0111793
3139,tt0121659
3140,tt0362056
3141,tt0173156
3142,tt0109134
3143,tt0110881
3144,tt0440604
3145,tt0346733
3146,tt0112485
3147,tt0109116
3148,tt0375890
3149,tt0348187
3150,
3158,tt0110254
3159,tt0187227
3160,tt0482670
3161,tt0403475
3162,tt0349618
3163,
3164,tt0230358
3165,tt0110140
3166,tt0121395
3167,tt0271174
3168,tt0363784
3169,tt0110222
3170,tt0267845
3171,tt0388554
3172,tt2016931
3173,tt0363455
3174,tt0448586
3175,
3176,tt0260155
3177,tt0398170
3178,tt0337611
3179,tt0113822
3180,tt3635436
3181,tt0121232
3182,tt0290183
3183,tt0110942
3185,tt0363405
3186,tt0390652
3187,tt0364059
3188,tt0482045
3189,tt0339936
3205,tt2454134
2605,
2883,tt0286672
2898,tt3672828
2900,tt0114726
2906,tt2626088
2907,tt0337625
2908,
2909,tt2751156
2910,tt1297447
2911,tt0204823
2912,tt0114232
2913,tt2739794
2914,tt0274764
2915,tt0114231
2916,tt0112313
2917,tt0361721
2918,tt0112876
2919,tt0275364
2920,tt0115009
2926,tt2747128
2927,
2928,tt0400565
2929,tt0420838
2930,tt0271009
2931,tt0113528
2932,tt0346870
2933,tt0230313
2934,tt0395746
2935,tt0113455
2936,tt0375791
2937,tt2742248
2938,tt1027867
2939,tt0395745
2940,tt0395802
2941,tt0112309
2942,tt0172519
2943,tt0395511
2944,tt0347722
2945,tt0286705
2946,tt0112738
2951,tt0114031
2952,tt0172089
2953,tt0172574
2954,tt0115042
2955,tt0114316
2956,tt0135666
2957,
2958,tt0114234
2959,tt3672654
2960,tt0173301
2961,
2968,tt0112459
2969,tt0316112
2970,tt0400917
2971,tt0309618
2972,tt3657506
2973,tt0292606
2974,tt0101616
2975,tt0398360
2976,tt0114153
2977,tt2676096
2978,tt0314938
2982,tt0114225
2984,tt0400170
2985,tt0439464
2988,tt0114317
2991,tt0113457
2992,tt0114615
2993,tt0178392
2994,tt0113185
2995,tt0114175
2996,tt0109031
2997,tt0112884
3003,tt0389725
3004,tt0267703
3005,tt0121989
3006,tt3658908
3007,tt0940893
3008,tt0260066
3009,tt0343850
3010,tt0113913
3011,tt3657490
3012,tt0110449
3013,tt0385312
3014,tt0290258
3015,tt0343048
3016,tt0112359
3017,tt0363846
3018,tt0395748
3019,tt0110795
3020,tt0267613
3021,
3022,
3025,tt0113237
3026,tt0112272
3027,tt4333220
3032,tt0113526
3033,tt0114230
3036,tt0112870
2726,tt0267252
2727,tt0344098
2728,tt0483786
2729,tt0271243
2730,tt0403200
2731,tt0398113
2732,tt0117878
2733,tt0116035
2734,tt0135621
2735,tt3673654
2736,tt0338855
2737,tt0117437
2738,tt0135641
2739,
2740,
2741,tt1027849
2742,tt0116950
2743,tt0269758
2744,tt0117470
2750,tt0405499
2751,
2752,tt0274315
2753,tt0117623
2754,tt0241753
2755,tt0400520
2756,tt0286593
2757,tt0116153
2758,tt4358192
2759,tt0294492
2760,
2761,tt0115541
2762,tt3635538
2763,tt0115616
2764,tt0870221
2765,tt0117099
2766,tt3673692
2767,tt0286505
2768,tt0446148
2769,tt0116690
2770,
2771,tt0322027
2772,
2773,tt0135515
2774,tt0115668
2775,tt0378281
2776,tt0395672
2777,tt0117111
2778,tt2679362
2779,tt0359368
2780,tt0116024
2786,tt3669102
2787,tt0405313
2788,tt0286620
2789,tt0115568
2790,tt0297001
2791,tt0172234
2792,tt0447196
2793,tt0246729
2794,tt0308417
2795,tt0116898
2796,tt0117374
2797,tt0978642
2798,tt0400617
2799,tt3675832
2800,tt0246839
2801,tt0151090
2802,tt0117983
2803,tt0149609
2804,
2805,tt0150102
2806,tt0116726
2807,tt0246905
2808,tt0408723
2814,tt2656968
2815,tt0267742
2816,tt0115019
2817,tt0115484
2818,tt0172163
2819,tt0117436
2820,tt0115558
2821,tt0117186
2822,tt0115620
2823,tt0267813
2824,tt0358960
2825,tt0446889
2826,tt0117986
2827,
2828,tt0339864
2829,tt0136153
2830,tt2145753
2831,tt0341639
2832,
