movie_id,name,release_date,release_year,imdb_id
107,Aakrosh,2010-10-15,2010,tt1708453
108,Knock Out,2010-10-15,2010,tt1558578
109,Jhoota Hi Sahi,2010-10-22,2010,tt1322257
110,Aashayein,2010-08-27,2010,tt1227524
111,Crook,2010-10-08,2010,
112,Tere Bin Laden,2010-07-16,2010,tt1629391
113,Pyaar Impossible!,2010-01-08,2010,tt1351224
114,Toh Baat Pakki,2010-02-19,2010,tt1605778
115,Road Movie,2010-03-05,2010,
116,Right Yaa Wrong,2010-03-12,2010,tt1191130
117,Shaapit,2010-03-19,2010,
118,Hum Tum Aur Ghost,2010-03-26,2010,tt1465493
119,Dulha Mil Gaya,2010-01-08,2010,tt1182884
120,Sadiyaan,2010-04-02,2010,
121,Tum Milo Toh Sahi,2010-04-02,2010,tt1442583
122,Red Alert - The War Within,2010-07-09,2010,tt1245732
123,Udaan,2010-07-16,2010,tt1639426
124,Help,2010-08-13,2010,tt1663647
125,Hello Darling,2010-08-27,2010,tt1191118
126,Do Dooni Chaar,2010-10-08,2010,tt1714832
127,Hisss,2010-10-22,2010,tt1244093
128,Rakht Charitra,2010-10-22,2010,
129,Rakht Charitra 2,2010-12-04,2010,
130,Phoonk 2,2010-04-16,2010,tt1612611
131,Khelein Hum Jee Jaan Sey,2010-12-03,2010,
132,Toonpur Ka Superrhero,2010-12-24,2010,tt1189006
133,Khuda Kasam,2010-11-26,2010,tt1920986
134,Well Done Abba,2010-03-26,2010,tt1397492
135,Department,2012-05-18,2012,tt2186731
136,3 Idiots,2009-12-24,2009,tt1187043
137,Wanted,2009-09-18,2009,tt1084972
138,Love Aaj Kal,2009-07-31,2009,tt1275863
139,Ajab Prem Ki Ghazab Kahani,2009-11-06,2009,tt1252596
140,De Dana Dan,2009-11-27,2009,tt1255951
141,Kambakkht Ishq,2009-07-03,2009,
142,New York,2009-06-26,2009,tt1328634
143,Blue,2009-10-16,2009,tt1223922
144,All The Best - Fun Begins,2009-10-16,2009,tt1433905
145,Kaminey,2009-08-14,2009,tt1274295
146,Chandni Chowk To China,2009-01-16,2009,tt1091229
147,Delhi 6,2009-02-20,2009,tt1043451
148,Paa,2009-12-04,2009,tt1532957
149,London Dreams,2009-10-30,2009,tt0486615
150,Raaz - The Mystery Continues,2009-01-23,2009,tt1340838
151,Billu,2009-02-13,2009,tt1230448
152,8 x 10 Tasveer,2009-04-03,2009,
153,Luck,2009-07-24,2009,tt1242782
154,Life Partner,2009-08-14,2009,tt1229366
155,Dil Bole Hadippa,2009-09-18,2009,tt1202540
156,Do Knot Disturb,2009-10-02,2009,
157,Wake Up Sid,2009-10-02,2009,tt1324059
158,Kurbaan,2009-11-20,2009,tt1185442
159,Rocket Singh: Salesman Of The Year,2009-12-11,2009,tt1434447
160,13B,2009-03-06,2009,
161,99,2009-05-15,2009,tt1370429
162,Aa Dekhen Zara,2009-03-27,2009,tt1372681
163,Ek - The Power Of One,2009-03-27,2009,tt1454461
164,Videsh,2009-03-27,2009,
165,Aagey Se Right,2009-09-04,2009,tt1479667
166,Fox,2009-09-04,2009,tt1324076
167,Acid Factory,2009-10-09,2009,tt1201557
168,Agyaat,2009-08-07,2009,
169,Teree Sang,2009-08-07,2009,
170,Aladin,2009-10-30,2009,tt1227762
171,Aloo Chaat,2009-03-20,2009,tt1305840
172,Chintuji,2009-09-04,2009,tt1135931
173,Chhota Bheem And The Curse Of Damyaan,2012-05-18,2012,
174,Daddy Cool - Join The Fun,2009-08-28,2009,tt1404573
175,Kisaan,2009-08-28,2009,tt1372266
176,Dhoom 2,2006-11-24,2006,tt0441048
177,Rowdy Rathore,2012-06-01,2012,
178,Shanghai,2012-06-08,2012,tt2072227
179,Ferrari Ki Sawaari,2012-06-15,2012,tt2122340
180,Halla Bol,2008-01-11,2008,tt0892874
181,My Name is Anthony Gonsalves,2008-01-11,2008,
182,Bombay To Bangkok,2008-01-18,2008,tt1159917
183,Sunday,2008-01-25,2008,tt1039989
184,Superstar,2008-02-08,2008,
185,Rama Rama Kya Hai Drama,2008-02-01,2008,
186,Jodhaa Akbar,2008-02-15,2008,tt0449994
187,Gangs Of Wasseypur 1,2012-06-22,2012,tt1954470
188,Teri Meri Kahaani,2012-06-22,2012,tt2354407
189,Mithya,2008-02-08,2008,
190,Race,2008-03-21,2008,tt1017456
