imdb_id,title,year,rating,votes
tt0115568,Army,1996,4.3,"1,591"
tt0427527,Mera Suhag,1987,-,-
tt0230870,Thakur Jarnail Singh,1966,5.0,9
tt1891884,Once Upon a Time in Mumbaai Dobara,2013,4.6,"6,698"
tt2674200,Akaash Ganga,1990,-,-
tt3977454,Kabhi Yuh Bhi Toh Ho,2014,-,-
tt4417702,Aadi Shakti,1992,-,-
tt12934616,Little Singham: Kaal Ka Badla,2020,5.1,9
tt0345177,Ek Doctor Ki Maut,1990,8.3,"1,309"
tt0273801,Mazaaq,1943,-,-
tt0246286,The Train,1970,6.4,148
tt0178175,Aakhri Ghulam,1989,5.0,32
tt0267430,Diljani,1935,-,-
-,Ek Dopahar (An Afternoon),2021,-,-
tt0408976,Krishna Cottage,2004,5.1,"1,004"
tt0231651,Ghulam Begum Badshah,1956,6.6,5
tt8435324,Bombay Rose,2019,6.1,440
tt5319796,Utthaan,1989,-,-
tt0233281,Badhti Ka Naam Dadhi,1974,6.7,37
tt0381261,Hyderabad Ki Nazneen,1952,-,-
tt0076259,Khoon Pasina,1977,6.2,352
tt2894356,Seeta Salma Suzy,1992,-,-
tt4228746,Zid,2014,4.4,"1,066"
tt0099869,Izzatdaar,1990,5.2,177
tt0092049,Tan-Badan,1986,5.1,37
tt0060306,Devar,1966,7.2,81
tt9059202,Kuch Der Aur,2018,8.5,41
tt1408029,Krantiveer: The Revolution,2010,4.6,19
tt0387152,Dak Babu,1954,-,-
tt8983164,Chhalaang,2020,6.4,"15,444"
tt9176102,Tuesdays and Fridays,2021,4.5,407
tt0242262,Amar Suhagin,1978,-,-
tt0093578,Mr. India,1987,7.8,"14,265"
tt0226786,Hum Tum Pe Marte Hain,1999,5.3,483
tt3816438,Laal Joda,2001,-,-
tt2751148,Meera Ke Girdhar,1992,-,-
tt0390647,Zehreeli,1977,-,-
tt0418818,Ladki Sahyadri Ki,1966,5.0,9
tt2663792,Johra Bai,2000,-,-
tt3100362,Chaalbaaz Leader,1970,-,-
tt11117452,Nistaran,2019,-,-
tt3477056,Do Haath 100 Bandooken,1974,-,-
tt0267900,Sabak,1950,-,-
tt4491426,Jalladon Ka Jallad,2004,-,-
tt2958972,Anokha Aspatal,1989,6.8,12
tt10217620,Aavartan,2021,-,-
tt2064816,"I, Me aur Main",2013,4.6,"1,807"
tt3099096,Irada,1971,-,-
tt3628802,Hind Ki Wali,1978,-,-
tt6493322,Sai V/S I,2017,-,-
tt6471054,Ajji,2017,6.9,939
-,Kakasparsh,,-,-
tt0069152,Raaste Kaa Patthar,1972,5.7,83
tt0363449,Awaragardi,1990,5.4,8
tt0155547,Bharat Ke Shaheed,1972,-,-
tt0449306,Lucky: No Time for Love,2005,4.7,"3,276"
tt0080982,Kalyug,1981,7.8,493
tt0376684,Jadui Ratan,1947,-,-
tt0374122,Phir Aayee Barsat,1985,7.8,6
tt2437236,Loh Purush,1999,5.3,15
tt2898694,Police Custody,1995,-,-
tt13139222,Before You Go-Love,2020,-,-
tt0105866,Yalgaar,1992,5.4,413
tt0155840,Lovers,1983,4.7,27
tt0374080,Nafrat,1987,-,-
tt0466367,Chand Sa Roshan Chehra,2005,4.8,52
tt10919600,Seasons Greeting,2019,5.4,24
-,Haveli Ka Hungaama,,-,-
tt2387495,Jalpari: The Desert Mermaid,2012,7.1,371
tt3509688,Prem Rahasya,1981,-,-
tt2615584,Phata Poster Nikhla Hero,2013,4.8,"4,423"
tt0242314,Billoo Baadshah,1989,4.6,39
tt0373971,Khawaja Ki Diwani,1981,-,-
tt0213644,Fariyaad,1942,-,-
tt12140104,Shoonya,2020,-,-
tt4201786,Hum Tumhe Yaad Aayenge,2000,-,-
tt0157899,Kirayadar,1986,6.3,75
tt10545214,Aliya Basu Gayab Hai,2020,-,-
tt0213499,Bhagyawan,1953,-,-
tt13272004,Ae phansaa,2008,-,-
tt0375601,Bhalai,1943,-,-
tt5310726,Post Master,1955,-,-
tt0376683,Jadui Putli,1946,-,-
tt10004074,Ali the Blind Boxer,2019,-,-
tt2871010,Sonali Cable,2014,5.4,970
tt1159917,Bombay to Bangkok,2008,4.6,415
tt3564286,Durga Pooja,1962,-,-
tt0158026,Night in London,1967,6.6,37
tt0158574,Dahleez,1986,5.3,50
tt0156810,Mujrim,1944,-,-
tt4968780,Rowdy Cheetah,2001,7.3,16
tt3682926,Air Mail,1960,-,-
-,Heropanti 2,2021,-,-
tt0378344,Meera Shyam,1976,-,-
tt1896832,The Life Zindagi,2011,-,-
tt3673378,Ladki Badnaam Si,1991,-,-
tt3511190,Shaadi Se Pehle Aur Shaadi Ke Baad,1989,-,-
tt11290104,The Motorcycle Man,2020,-,-
