imdb_id,title,year_of_release
tt1321869,The Lovers,2015
tt4944454,Gilli Gilli Atta,2005
tt0409042,Mehak,1985
tt11162316,3 Shyaane,2020
tt10214908,Hai Golmaal in White House,2015
tt4728274,Pak Daman,1957
tt0378969,Veer Pujan,1934
tt3628778,Naag Jyoti,1963
tt7762320,Black & White,2015
tt3121618,Zindagi Jalebi,2013
tt1306975,Game,2007
tt0339992,Baat Hai Pyaar Ki,1991
tt10168750,Resham,1952
tt0231701,Haso Haso Ai Duniyawallaon,1942
tt3085984,Bhaavna,1972
tt2753314,Begunah,1970
tt0156065,Shake Hands,1947
tt3508242,Jeet Aur Jeewan,1986
tt1502960,The Taste of Relation,2009
tt5611384,The Fighter,2007
tt3673382,Muddat Ki Pyaas,1991
tt2530618,Trunk Call,1960
tt2713722,Naseman,2014
tt3720438,Zimbo,1999
tt0364320,Duniya Kya Jane,1971
tt0381356,Lal Bujakkad,1938
tt2186933,Luv Shuv Tey Chicken Khurana,2012
tt6152474,Boyss Toh Boyss Hain,2013
tt1241195,Aamir,2008
tt0230022,Bandar Mera Sathi,1966
tt0046224,Rangila,1953
tt4457500,Badla,2004
tt0141726,Phoolwari,1946
tt0150511,Farebi Duniya,1935
tt0242568,Kalyug Aur Ramayan,1987
tt7094488,Sandeep Aur Pinky Faraar,2021
tt4488796,Ashtalakshmi,1994
tt0154868,Mera Haq,1939
tt14051362,Raka,2021
tt2061850,Victoria House,2009
tt7687138,Bhor: Dawn,2018
tt4559190,Rashtra Geet,2001
tt0158908,Sach Hai,1939
tt2791242,Bharat Ki Santan,1980
tt14398956,Brainwashed,2019
tt0398149,Kasam Durga Ki,1984
tt0281584,Amba Ambika Ambalika,1976
tt0268258,Dhuen Ki Lakeer,1974
tt10323662,Jai Balaji Mehndipur Wale,2010
tt1139133,Sri Raam Vanavas,1977
tt0157207,Zimbo Shaher Mein,1960
tt8357116,Phir Aaya Satte Pe Satta,2017
tt3673644,Chakravyuh,1996
tt2658566,Daayan,1998
tt2703358,Gunehgaar,1986
tt9448856,Talaq,1941
tt4765560,Awara Ladki,1967
tt5241708,Aap Jaisa Koi,2003
tt0137470,Dooj Ka Chand,1964
tt9511022,Rescue,2019
tt0156090,Snehlata,1936
tt4984626,Devi Maha Devi,1986
tt0373742,Captain Barry,1984
tt4709534,Raja Beta,1958
tt3155962,Birju Ustad,1964
tt0042225,Banwra,1950
tt3715324,Kaamini Aur Kaamdev,1999
tt0381486,Pensioner,1954
tt11664616,Aani Maani,2019
tt0382931,Raiders of the Rail Road,1936
tt3532668,Jiya Beqarar Hai,1991
tt4004790,Jawaani Mein Barsaat,2003
tt0055412,Saugandh,1961
tt0417735,The Hangman,2005
tt0488342,Tamboo Mein Bamoo,2001
tt4556106,Rosy,2006
tt3506102,Pooja,1988
tt2624520,Kasam Bhawani Ki,1981
tt4959188,Hamari Ranbhoomi,2003
tt0369212,Abu Kaliya,1990
tt6868352,MASTI NAHI SASTI,2017
tt5849094,Money Back Guarantee,2016
tt10178386,No Man's Truth,2020
tt0430049,Ek Chor Ek Hasina,1987
tt0267821,Pehla Aadmi,1950
tt0234225,Meet Mere Man Ke,1991
tt1727486,Bhoomige Banda Bhagavantha,1981
tt4459154,Chapekar Brothers,2016
tt0213548,Chandni,1942
tt0857395,Prateeksha,2006
tt1027800,Angoor,2005
tt4203826,Prem Sakshi,2004
tt0140957,Dhanna Bhagat,1945
tt0156379,Business Is People,1976
tt4862426,Haathi Mera Yaar,1995
tt0040073,Adalat,1948
tt0382064,Gunah,1953
tt2726772,Sindoor Mange Khoon,2001
tt4502952,Mukkadarpur Ka Majnu,2017
tt0826165,Raja Bhai Lagey Raho...,2005
tt12502244,Home Stories,2020
tt4978736,Mahatma Ka Insaaf,1995
tt11513924,Jhamela,2019
tt0377504,Bhakti,1939
tt0376618,Ghar Ki Laaj,1941
tt1774473,Love You to Death,2012
tt3949164,Aag Ka Gola,2002
tt9464770,Unfriends,2019
tt0382748,Huma Gun Anmogaldi,1942
tt10322456,Burhan vs afspa,2019
tt0361617,Film Hi Film,1983
tt0041161,Barsaat,1949
tt0390400,Qaid Mein Hai Bulbul,1992
tt4721366,Miss Punjab Mail,1958
tt1937455,Vroom,2010
tt1057998,Shamsherbaaz,1953
tt3763726,Rana the Don,2000
tt2008444,Agniputra,2000
tt3621862,Tilasmi Duniya,1962
tt6016672,Mirza Juuliet,2017
tt2246533,2 Nights in Soul Valley,2012
tt8046936,No mind,2018
tt3885680,Howrah Express,1961
tt2055706,Panga Naa Lo,2007
tt0383189,Apna Paraya,1941
tt1446071,"Gallit Gondhal, Dillit Mujra",2009
tt5321634,Pawan Basanti,1980
tt3100332,Mangu Dada,1970
tt3524536,Akela the Alone,2014
tt3439344,Sakhi Lutera,1969
tt4897182,Shikar,2001
tt12576274,MMS Kand,2014
tt0381047,Bhai Ka Dushman Bhai,1986
tt9896506,Six Hours With Terrorists,2011
tt11023422,Anya The Other,2019
tt1147508,Doraemon: Nobita no Dorabian Naito,1991
tt0156928,Ram Janma,1951
tt0215974,Mata,1942
tt0453379,Maut Ki Sazaa,1991
tt3675832,Suhagraat Se Pehle,1996
tt8146984,S the Film,2012
tt10014132,Jai Chhathi Maa,2019
tt1242687,Sheetla Mata,1981
tt4694126,Mitti Ka Dev,1968
tt1350913,Changez Khan,1957
tt0430441,Paanch Dushman,1973
tt0232175,Nazar Ki Shikari,1936
tt0389725,7 Days,1995
tt0293617,Spy in Rome,1968
tt0154188,Bada Bhai,1957
tt2637562,Naagmani,1991
tt2751046,Chhupa Chhuppi,1981
tt3409040,Rajaon Ka Raja,1983
tt2637612,Maar Dhaad,1988
tt4058920,Manoranjan the Entertainment,2003
tt3509212,Shaadi Kar Lo,1978
tt3638452,Aflatoon,1961
tt0369695,Man Ka Meet,1969
tt10199974,Pareeksha,2020
tt0384916,Dil Aur Patthar,1977
tt12788632,Hamaari Bhabhi,2020
tt4228400,Sar Ankhon Par,1999
tt0214072,Samrat Chandragupta,1945
tt10644652,Songs of love,2019
tt14260226,Missing Persons Report,2012
tt6346954,Shor Se Shuruaat,2016
tt0345102,Danger,2002
tt3429798,Jungle Ki Hasina,1990
tt12089546,Safaibaaz - The Scavenger,2021
tt3729924,Black Home,2015
tt4816898,Khel Jeewan Ki,1989
tt3790250,Yeh Ishq Sarfira,2015
tt0233286,Ban Phool,1945
tt0214748,Hamari Manzil,1949
tt9477076,Raja Rani,1949
tt3619638,Private Detective,1962
tt3713612,Aadmi Aur Aurat,2001
tt3918478,Char Ladkiyan,2002
tt3693822,Sharif Daku,1960
tt4970260,Masti Ke Do Pal,2000
tt0115043,Zameen,1987
tt0390403,Qatil,1944
tt2656968,Police Ke Ghere Mein,1996
tt2963042,Mahakali Ka Insaaf,2001
tt3087716,Putlibai,1972
tt0824355,Lav-Kush,1967
tt0379056,Zakhmon Ke Nishan,1980
tt0050828,Payal,1957
tt3816016,Kaamukta,2001
tt3711214,Pyar Ki Umang,1998
tt0390035,Ganga Meri Maa,1983
tt4620544,Robinhood Ke Pote,2016
tt0267639,Khota Paisa,1958
tt2224541,Tutiya Dil,2012
tt1566612,Pritam,1942
tt0424298,Nache Nagin Gali Gali,1989
tt0362200,Sultana Chand Biwi,1937
tt2668836,Mahiya: Call of Love,2005
tt2960680,Ladies Hostel,1990
tt1786535,Kis Kaam Ke Yeh Rishte,1995
tt0154862,Meharbani,1950
tt4411764,Pyar Hua Badnaam,1992
tt5308900,Maa,1968
tt0359926,Sahebzaade,1992
tt0047110,Ilzam,1954
tt0313462,Pati Parmeshwar,1990
tt0378733,Service Ltd.,1939
tt0383190,Apne Begaane,1989
tt2894658,Pyas Bujhti Nahin,1992
tt3763428,Kanoon Ki Lalkaar,2000
tt2177513,Chaloo Movie,2011
tt0236508,Mohabbat,1943
tt1206283,Black & White,2008
tt1921071,Queens! Destiny of Dance,2011
tt0154220,Bhagya Laxmi,1944
tt0133187,Rukhsana,1955
tt0266677,Kanch Ki Gudiya,1961
tt3628786,Garbh Gyan,1981
tt0158686,Jawani Ki Reet,1939
tt3745830,Maila Aanchal,2000
tt0256172,Man Ka Meet,1950
tt4519876,Kaise maare iss zombie ko?,2015
tt3748624,Jadoo Tona,2000
tt0242301,Basant,1960
tt0215964,Mangalsutra,1947
tt0155519,Bahadur,1944
tt5343180,Jaade Mein Balma Pyara Laage,2009
tt0877616,Faqeer Badshah,1987
tt4959186,Vijaya Dashami,2003
tt1334437,Blue Oranges,2009
tt4319860,Nar Naari,2004
tt4001950,Duplicate Jaani Dushman,2003
tt0418013,Nishane Jung,1937
tt4276450,Charitraheen: Ek Naari Ki Vyatha,2004
tt10137328,Rakto Lekha,1992
tt0156773,Mastan Dada,1977
tt3619654,Pyar Ki Jeet,1962
tt8394576,The Zero Line,2017
tt0426059,Karamdaata,1986
tt0378280,Maa Baap,1960
tt0364547,Nari,1981
tt3807706,Bhooton Ka Honeymoon,2001
tt4679940,Jaan Bachi Lakhon Paaye,1968
tt4971274,Ek Vardaan Nagina,2005
tt0405244,Picnic,1964
tt4884688,Guptdhan,2005
tt0439712,Mud Mud Ke Na Dekh,1960
tt2522290,Four Two Ka One,2012
tt0214071,Sampoorna Teerth Yatra,1970
tt0091471,Mangal Dada,1986
tt4417710,Aaja Mere Mehboob,1994
tt0367674,Dost Aur Dushman,1971
tt0361375,Bhedi Rajkumar,1934
tt0239793,Pehla Adhyay,1981
tt1146305,Anubhav: An Experience,2003
tt0441554,Waisa Bhi Hota Hai,1971
tt0214267,Vanraj Kesari,1937
tt4862418,Aaj Ka Romeo,1995
tt14185598,The Great Leader Kanshiram,2017
tt0279731,Chitralekha,1941
tt0448748,Shahnaz,1948
tt0178202,Aas,1953
tt1566483,Badhe Chalo,1937
tt0353974,Sanatta: The Silence,2003
tt3673974,Maa Ki Shakti,1996
tt0381327,Khush Naseeb,1946
tt3918496,Chalu Aunty,2002
tt3503402,Daku Chandi Rani,1987
tt0213755,Kailashpati,1962
tt0139311,Hanumaan Pataal Vijay,1951
tt10298006,V For Victor,2019
tt4896960,Scribbles on Akka,2000
tt10963960,Roohani,2019
tt4721346,Mausi,1958
tt3186698,Sim Sim Marjeena,1958
tt1607600,Muskurake Dekh Zara,2010
tt0405024,Hum Kaun Hai?,2004
tt2726740,Khofnak Mahal,1998
tt2779184,Pratibha,1984
tt13998408,Bolo Hau,2021
tt0476847,Raakh: A Poem Masked in Blood,2007
tt0232142,Munimji,1972
tt7061658,Tilasmi Duniya,1946
tt0427522,Mera Jiwan,1976
tt0157019,Shadi Ki Raat,1935
tt5313126,Waatan,1969
tt3715150,Do Jism Ek Jaan Hain Hum,1999
tt4738798,Hamara Haj,1957
tt11240928,Dream City Mumbai,2016
tt4696884,Lucknow Times,2015
tt4479168,Bipasha: The Black Beauty,2006
tt0877646,Jadugar,1946
tt4007342,Kyaa Koi Hain,2003
tt0357811,Jeet,1972
tt2073596,Kram,2012
tt0362020,Pati Bhakti,1932
tt0031888,Sadhana,1939
tt3100008,Darar,1972
tt0357086,Rang Mahal,1948
tt0398671,Alibaba and 40 Thieves,1954
tt3549654,Devi Aur Durga,1992
tt0861703,Dil Kitna Nadan Hai,1997
tt0376619,Ghar Ki Laxmi,1990
tt4897082,Maut Ki Pukar,2001
tt1482105,Aaravalli,1957
tt0236469,Mamta,1965
tt14175602,Purush- Freedom of Choice,2018
tt2422160,Bindiya Mange Bandook,2001
tt0158862,Preet,1945
tt0395435,Aandha Intaquam,1993
tt2734964,Labbaik,1980
tt0829104,Badkaar,1986
tt3229452,S.O.S Jasoos 007,1969
tt0397739,Yeh Preet Na Hogi Kam,1986
tt4434038,Haqdar,1964
tt0268563,Raja,1943
tt4309282,A Daughter's Dream,2014
tt3181720,Flight to Assam,1961
tt9408648,Dear Molly,2018
tt0213706,Harishchandra,1958
tt6049232,Sava Ser Gehu,1989
tt0152061,Prem Sangeet,1943
tt13199556,Lahore Confidential,2021
tt0139419,Leatherface,1939
tt1242638,Insaaf Ka Khoon,1991
tt11774804,Court Martial,2020
tt12505468,Kadakh,2019
tt2531988,Kabhi Paas Kabhi Fail,1999
tt2082436,Sultanat,2014
tt3621726,Rashtraveer Shivaji,1962
tt3157768,Madan Manjari,1961
tt3257726,Dark Rainbow- Directed by Abhik Bhanu,2014
tt2730112,Gumnaam,2005
tt9258162,Chameli,2018
tt4971308,Naxalite,2000
tt2619790,Wahem,1987
tt0099437,Disha,1990
tt2529150,Dasi,1944
tt3312292,Muqaddar Ki Baat,1983
tt4082954,Pyaasi,2003
tt2145675,Daughter of Sindbad,1958
tt10137072,ASOORAN,1995
tt5479928,Mere Gunaah,2016
tt0380658,Rangila Jawan,1940
tt0427525,Mera Muqaddar,1988
tt0178205,Ashiana,1952
tt3635640,Shri Krishna Bhakta Narsi,1993
tt9033670,Mausam Ikrar Ke Do Pal Pyar Ke,2018
tt2327361,Kay Sera Sera,2012
tt0252276,Bhakta Kuchela,1961
tt3816394,Ladki Jawan Padosi Pareshan,2001
tt3087708,Padosi,1971
tt4231836,Pocket Gangsters,2015
tt4946216,Mitti Aur Chand,2004
tt0060659,Mamta,1966
tt2787104,Purana Purush,1978
tt9476656,Dost,1944
tt3529052,Insane,2015
tt0358052,Pyaasi Atma,1988
tt0027256,Achhut Kanya,1936
tt0139399,Kasauti,1941
tt2368456,Gandhi Ki Zameen Par,2012
tt3673420,Khel Badnaami Ke,1992
tt3659220,Raja Saheb,1994
tt0378614,Pyar,1950
tt0117630,Shikaar,1996
tt4814294,Deewar,1955
tt5937870,My Father Iqbal,2016
tt2674138,Do Yaaron Ki Yaari,1984
tt0242157,Zarina,1932
tt2780600,Mahadaan,1984
tt3848468,Sali Gharwali Aur Bahar Wali,2001
tt3669102,Apna Kaun,1996
tt6381074,Bhasmasur,2017
tt0328177,Naya Bakra,1979
tt0384915,Dil... Akhir Dil Hai,1982
tt0377343,Aakhri Galti,1936
tt3713626,Aadhi Raat,1999
tt1883330,SHUDRA: The Untouchables,2011
tt0452175,Chaalu Mera Naam,1977
tt0402740,Aag Aur Toofan,1975
tt0402607,Tum: A Dangerous Obsession,2004
tt3160450,Ooops a Desi,2013
tt2649388,Fauji,1976
tt7628180,Chitrakut,2018
tt0388970,Ghar Ki Laaj,1960
tt0414264,Mashooka,1953
tt2652432,Madine Ki Galian,1981
tt0176140,Sikandar E Azam,1965
tt2332705,Love Recipe,2012
tt2784540,Hasrat,1986
tt13529704,Bhootaha,2020
tt0155634,Collegian,1944
tt4437822,Perveen,1957
tt6052806,Gutrun Gutargun,2016
tt5805252,Budhia Singh: Born to Run,2016
tt0298579,Trimurti,1974
tt2954564,Veshya Kyon,1998
tt2909038,Naago Ka Raja,1980
tt9052942,Ganit,2019
tt0432789,Chingariyan,1990
tt3816408,Ladka Solva Saal Ka,2001
tt2457544,Blue Mountains,2017
tt1587430,The Thief of Baghdad,1969
tt2617830,Kasam Kali Ki,1991
tt0234621,Roop Kumari,1934
tt1239221,Bhoomi,2009
tt4944462,Danger,2005
tt10092762,Aakhri Pal,2015
tt0414296,Naatak,1947
tt0205876,Do Dushman,1967
tt3711202,Qatil Chandalini,1998
tt8902754,My Dear Wife,2018
tt3173638,Chandu,1958
tt2009434,Bhagawat Ek Jung,2001
tt0823607,Mehboob Mere Mehboob,1992
tt2549818,Nek Dil,1948
tt2369154,R... Rajkumar,2013
tt0139234,Garib,1942
tt0213981,Paristan,1957
tt2006203,Patthar Aur Payal,2000
tt0154858,Maya Machhindra,1951
tt0405475,Woh Bewafa Thi,2000
tt14032558,Majjma,2021
tt3478880,Subhash Chandra,1966
tt13979128,Pyaar Banam Khap Panchayat,2020
tt0154837,Manmani,1947
tt3734118,Adhuri Suhagraat,2000
tt3153580,Barefoot to Goa,2015
tt1941657,Soundtrack,2011
tt5570606,Muzaffarnagar 2013,2017
tt0234231,Mera Suhaag,1961
tt3657506,Himalaya Ke Aanchal Mein,1995
tt6543068,Mighty Ka Mighty Attack,2015
tt1147520,Doraemon: Nobita to Animaru puranetto,1990
tt1986904,Muthi Bhar Zameen,1996
tt0214742,Gulam Daku,1936
tt0360841,Niti Vijay,1932
tt4738854,Beti,1957
tt0490434,Kaaboo,2002
tt0230311,Hriday Manthan,1936
tt4053580,Chandaal,1998
tt2660668,Bahke Kadam,1999
tt3765818,Dhanna,1997
tt4209744,Dil Ki Chori,2005
tt3100088,Haveli,1970
tt11231440,Doordarshan,2020
tt10916104,Grihalakshmi - The Awakening,2019
tt0482891,Apradhi Kaun,2000
tt4981764,Dharmadhikari,1989
tt0391558,Zamindar Ka Prem,1937
tt0389092,Lalkaar,1956
tt14508374,The Dancing God - Shiva,2011
tt4425254,Aaj Ka Krantiveer,2004
tt4966044,Yodha the Warrior,2002
tt7741866,Sweet Romeo,1999
tt2939828,Shri Mata Tere Roop Anek,1982
tt12172456,Organic Motion Pictures (Production House),2017
tt4203766,Paanch Parinde,1995
tt0283989,Chhote Nawab,1961
tt0230735,Sati Narmada,1950
tt0242654,Mauj,1943
tt0090674,Aurat,1986
tt5308442,Kharidaar,1978
tt0212770,Andhon Ki Duniya,1947
tt4799502,Roop Basant,1955
tt0039264,Chittor Vijay,1947
tt13014050,Musings of an Uninspired Artist,2020
tt3083968,Zee Boom Ba,1977
tt0273869,Namoona,1949
tt0038475,Dharti Ke Lal,1950
tt0248384,Rukmavati Ki Haveli,1991
tt3914774,Return Of Gadar - Ek Desh Premi,2002
tt0154504,Flying Ranee,1939
tt1082075,Pusher,2010
